Tweet_count,Username,Text,Created At,Retweets,Likes
57,Patovi,"Pozzer Penzo qiere meter en cana a periodistas qe cuentan la verdad sobre #loan.van x todos los qe no cobran ✉️. Qe te pensas @gustavovaldesok? Qe eca es #corrientes?? Mugre!! Culo sucio!!! Pederasta como tú padre!! Devolve a #loan hdp!!!
Pozzer cara de rata busca a #loan!!! https://t.co/c4H0ad5kpC",Tue Sep 17 03:08:57 +0000 2024,2,3
58,BLONDIE ™️🌟🦋¯\_(ツ)_/¯🦁💚🇮🇱🏳️‍🌈🙈🙉🙊,"Me cagué a pedos mal con el boludo del oficial de pre embarque xq me decía q en el boarding del celular no figuraba el número de vuelo.
Estuve a nada de salir en Crónica, 
O sea: Ciudad de Corrientes, un vuelo diario a Aeroparque, o sos crudo o tenés mala leche. Paaaabre, flashea https://t.co/EZjydOwWSX",Tue Sep 10 17:29:17 +0000 2024,1,10
59,Gaby 🎶🎭🖼🐾🍷🌎,"Esteros del Iberá, Corrientes 🇦🇷 https://t.co/RZqv5NsLjD",Fri Sep 13 23:32:21 +0000 2024,1,6
60,Caballero de noche,"Bueno, pues vamos para el fisio, que hoy vuelve a tocar agujas y corrientes todo en uno.
Les estoy cogiendo una mania, que esto no es normal 😂
Disfrutad de la tarde https://t.co/4HK9BaZGQJ",Thu Sep 12 14:58:25 +0000 2024,0,12
61,Mirta (Gringa)⭐⭐⭐🇦🇷,"Corrientes llega a la India,Tailandia,Lima😂😂 https://t.co/y5i33H2gFZ",Mon Sep 16 14:31:59 +0000 2024,0,3
62,movimiento militancia barrial 2025 Corrientes,En instante habla nuestra conductora CFK ✌️❤️🇦🇷 https://t.co/lnT8acmQcp,Fri Sep 13 19:42:52 +0000 2024,1,2
63,guuuuuada,"compra importantísima, algunos sabrán que mi item de colección son las pelotudeces o como le dicen los culorroto ""trinkets"". bazar chino de av. corrientes, latita para cigarrillos con una imagen de rachel mcgowan en pelotas. de mis mejores compras https://t.co/GhlVT1lAIF",Wed Sep 11 16:48:43 +0000 2024,0,5
64,Trabajadorxs Género SF,"VIGILIA CONTRA LOS DESPIDOS, EN DEFENSA DE LAS POLÍTICAS DE GENERO Y DIVERSIDAD

Ante nuestros inminentes despidos de parte de Pullaro, Tejeda y Tate convocamos hoy a las 19 hs en Corrientes 2879 a toda la militancia feminista, LGBTNB+, familiares, amigxs ...

👇🏽 https://t.co/DAAXaRlzgd",Wed Sep 11 18:43:29 +0000 2024,1,7
65,Trabajadorxs Género SF,"¡ESTADO DE ALERTA! 📢

Lxs trabajadores de la Secretaría de Género de la Provincia convocan a una asamblea abierta el día de mañana 11 de septiembre a las 11hs en Corrientes 2879.

Sabemos que nuestra cesantia es inminente! 

👇🏽 https://t.co/jcM7O4aWLu",Tue Sep 10 17:33:09 +0000 2024,7,12
66,Herny Hughes,"Éste es Federico Tournier, diputado radical por Corrientes. Vendió su voto, que no pueda caminar por la calle...!!!

RT RT RT. https://t.co/Rc8LURJ2oN",Wed Sep 11 12:29:33 +0000 2024,6,4
67,sandra menconi,"Día 97

QUÉ PASÓ CON LOAN?

GOBIERNO de Corrientes, justicia y seguridad cómplices.

Desde el 13 de junio el mundo se frenó para mí.
La impotencia e indignación que me produce la desidia y la inoperancia sumadas a la hipocresía e impunidad política que se c@garon

#LoanDaniloPeña https://t.co/t6pzXNT5sl",Wed Sep 18 18:42:57 +0000 2024,229,296
68,Corrientes 348,"Arrabal en directo #Exclusiva #ULTIIMAHORA

⤵️⤵️⤵️
https://t.co/Br5GQP8zC5 https://t.co/xWkXg43ZPs",Thu Sep 12 18:45:37 +0000 2024,1,6
69,Corrientes 348,"Arrabal ahora en directo.
#ULTIMAHORA

⤵️⤵️⤵️
https://t.co/X9DLRG44Z1 https://t.co/0pcqrmadX9",Tue Sep 10 18:06:05 +0000 2024,2,6
70,El Negro Ladino👋🏿,"Pizzería El Trébol, Ángel Gallardo e/Corrientes. La cola dá vuelta a la esquina. 

2 hs de demora, promedio https://t.co/m6SKpjRJBL",Wed Sep 18 01:30:54 +0000 2024,4,12
71,theriver_arte,"Os mostramos una pequeña selección de la inauguración de la exposición de Cristina Hernández ""Mujeres corrientes"". Podéis visitarlas hasta el 6 de octubre. 
Más información :
https://t.co/mXSzAqvGAS

#TheRiverArte
#arte
#arteemergente https://t.co/ytR0DdBKAN",Tue Sep 17 23:09:52 +0000 2024,4,8
72,Radio La Red - AM 910 📻,"🔴 LOS PADRES DE LOAN DENUNCIARON AL GOBERNADOR DE CORRIENTES

María Noguera y José Peña, padres de Loan, presentaron un pedido para que se investigue a Gustavo Valdés, el gobernador de Corrientes, por “irregularidades en el ejercicio de su función”. https://t.co/ldPEcqyEV0",Wed Sep 18 18:50:25 +0000 2024,1,2
73,Martín Tincho Ascúa,"Comunicado de Intendentes, Legisladores, Concejales y dirigentes del Partido Justicialista de la provincia de Corrientes. https://t.co/unvjrYI4eC",Thu Sep 19 17:26:30 +0000 2024,1,2
74,Euge 🐔,No me dejen caminar libremente por Av.  Corrientes. Mi billetera no conoce límites. https://t.co/HVRWhz2Wza,Mon Sep 16 23:15:20 +0000 2024,0,9
75,LISCATANIA,"#JuicioPoliticoAMileiYa

Diputado José Federico Tournier, UCR (Corrientes) vota en contra de los jubilados/as, pensionados/as.
¡Memoria a la hora de votar! https://t.co/EMbBP9gS8m",Thu Sep 12 02:26:16 +0000 2024,1,2
76,Marcelo Belelli,"Gran plenario de @ATE_ANAC #NEA en #Resistencia #Chaco.

👉Se voto acompañar la medida de fuerza del 19/9 desde los #Aeropuertos de Resistencia, #Formosa, #Posadas y #Corrientes en @ANACargentina 

Participaron los Sec.Gen. Corrientes, Chaco y Formosa. https://t.co/8R2lTsB2T5",Mon Sep 16 21:24:31 +0000 2024,4,7
77,Federico Cermelo,"Dialogamos en @LU6_Atlantica  sobre nuestra campaña de Ciudadania Digital en defensa de la niñez que lleva varios años en Mar del Plata y en distintas partes del país y nos valió una distinción en Corrientes tras el caso Loan. Estos delitos existieron siempre, pero con la https://t.co/KUdpYkJqXl",Thu Sep 12 22:07:18 +0000 2024,7,12
78,Carolina,"Paredes de adobe de mediados de 1800. Casa donde pernoctó Bartolomé Mitre en San Cosme,Corrientes, durante la guerra de la Triple Alianza. https://t.co/nkidBVRsaA",Mon Sep 16 02:03:57 +0000 2024,0,4
79,FARMACIA RURAL,Cada día el sentimiento de marginación de los pacientes del mundo rural ante las nuevas corrientes tecnológicas en la farmacia actual es mas marcado. El esfuerzo de los farma rurales para acompañar a sus pacientes no tiene precio. La brecha se va agrandando cada día un poco mas.,Wed Sep 18 11:25:50 +0000 2024,3,5
80,Liliana Sánchez 🇦🇷♌🦁,"Hoy  #19DeSeptiembre  es el día Nacional del Chamamé en homenaje a Tránsito Cocomarola y todos aquellos creadores, interpretes, bailarines y difusores del Chamamé.
Felicidades 
#Corrientes 🇦🇷 https://t.co/F2JdWPjDMw",Thu Sep 19 11:14:36 +0000 2024,4,4
81,Jαcզυҽɭιɳҽ Sօȶօ,"¿En dónde estás, amor?
No te distancies tanto,
recuerda nuestros sueños y poemas.
Tú vas venciendo batallas a lo lejos,
yo sorteando corrientes y tormentas.
Sigo llamándote con esa canción nuestra,
sigo esperando
que llegues a mi arena.
༄༄༄

#MartesdeTuitsaMano https://t.co/GN6uXCdhf8",Tue Sep 10 20:50:38 +0000 2024,48,264
82,AZTI,"¡Vuelve #Naukas,  en el gran evento de divulgación!
Y AZTI estará presente con: 

👩‍🔬 @arubio_ocean| Corrientes oceánicas y submarinos amarillos  
👨‍🔬Javier Franco| Una ingesta indigesta: aves marinas comiendo plástico

📆19/09
🕔17:00
📍 @Euskalduna_eus 
▶ https://t.co/tG269m9Rfq https://t.co/oUlqubcqN5",Thu Sep 12 05:45:06 +0000 2024,2,3
83,Silva Producción Teatro,"2024 Buenos Aires sigue estrenando más obras teatrales que en el 2023... Cómo pensar la producción teatral hoy? 
MASTERCLASS por Pablo Silva / Sab 28 Septiembre en teatro Eureka en Av Corrientes 4269. @silvapablom 
Coloquio. Café. Y materiales. Una fiesta!
https://t.co/iBVPAs5azc https://t.co/OzVkrkvLXk",Fri Sep 13 14:21:13 +0000 2024,9,8
84,Comisión de Familiares de Caídos en Malvinas,"El día 12 de Setiembre de 1958 nacia en Corrientes el Héroe Horacio Raúl DIMOTTA Caído durante el Conflicto del Atlántico Sur de 1982.
Al cumplirse un nuevo aniversario de su natalicio lo recordamos y le enviamos un abrazo fraterno a su familia.
¡Besos al cielo a nuestro Héroe! https://t.co/T5vB7tFflQ",Thu Sep 12 11:36:41 +0000 2024,46,125
85,Estudios Sindicales,"Estamos en @SindicatoETB participando de la capacitación de formación sindical. 

Nuestro presidente @diogenesorjuela participa en charla sobre corrientes ideológicas del movimiento sindical 🔥💪🏽 https://t.co/lIoYvwWiNo",Tue Sep 10 18:01:54 +0000 2024,0,3
86,Desinformémonos,"#Argentina ✊| María Eugenia falleció en el Hospital de Goya, Corrientes. A los 39 años y tras perder a su hijo José Carlos ""Kily"", por intoxicación con agrotóxicos, y a su hija Antonela, por cáncer. Nunca dejó de denunciar y exigir justicia. https://t.co/1wOfFR3WFw",Sun Sep 15 01:00:00 +0000 2024,6,6
