Tweet_count,Username,Text,Created At,Retweets,Likes,Location
67,ЩΣПDӨᄂYПП ,"😈 You ain’t got to lie Craig, you ain’t got to lie!… 🤣💯🤘🏼🤭 https://t.co/rSFH8Jt9Ew",Tue Sep 24 23:47:43 +0000 2024,96,1705,
68,MANEKI,"chilling to Come Fly With Me... 

$MANEKI 🐱🌪️🟩 https://t.co/YNdill2qEf",Tue Sep 24 23:54:32 +0000 2024,93,386,
69,Lathan🎯,You can’t vote your way out of a system like this.,Tue Sep 24 23:57:09 +0000 2024,332,700,
70,Jay 🌸,"Most Black Americans have been in this country longer than a lot white Americans, so they can’t “deport” us.",Tue Sep 24 23:52:56 +0000 2024,255,1857,
71,Cameron Tabatabaie,"Jaylen Brown just dropped his new sneaker AND a new sneaker company 

Meet 741:

https://t.co/cZaomaU4rj https://t.co/3K5aVWOkWU",Tue Sep 24 23:51:20 +0000 2024,186,1139,
72,il Donaldo Trumpo,ANY FUTURE SON NEEDS TO BE CALLED ELONI MELONI!!! https://t.co/BwqsLXoRd0,Tue Sep 24 23:55:43 +0000 2024,947,7823,
73,Daebreak,Only Elites Are still up and can react to this post 🥂❤️ https://t.co/pyQ1v2AWP9,Tue Sep 24 23:54:21 +0000 2024,47,177,
74,Daems🦅,"Happy Morning ""X"" Mates❤‍🔥

The only way to do great work is to love what you do.",Tue Sep 24 23:51:40 +0000 2024,3,199,
75,JONETI| Parody,"justin bieber appears impersonating his impersonator, he's so funny 😭 https://t.co/YT9tkIcPhT",Tue Sep 24 23:54:39 +0000 2024,375,3862,
76,Rino,"Two upcoming open world games set in Japan, starring female protagonists, each with her own story and skills🚀

✅ Ghost of Yōtei
✅ Assassin’s Creed Shadows

If you could choose only one, which one would it be? Let’s go!😎 #GhostOfTsushima #PlayStation #StateOfPlay https://t.co/ddaBUWD3aP",Tue Sep 24 23:55:00 +0000 2024,177,1717,
77,Vintage Cars Collection,Top or Bottom ? 🤔 https://t.co/XQKbO3yhgb,Tue Sep 24 23:50:00 +0000 2024,16,130,
78,Darth Thunder ⚡,RT if you want Manny Jacinto back as Qimir and for his wish of a S2 of The Acolyte to happen ✨ #RenewTheAcolyte https://t.co/3r2ab5axtk,Tue Sep 24 23:53:16 +0000 2024,406,1232,
79,United States of Juicy ✨,"Pot roast over white rice, baked macaroni and cheese &amp; candied yams 😋 https://t.co/1XPa1pyiaF",Tue Sep 24 23:51:05 +0000 2024,1313,14629,
80,Talk Church,Your feed is oftentimes a reflection of you ✝️ https://t.co/X0jl47xBWj,Tue Sep 24 23:59:00 +0000 2024,121,786,
81,Censored Men,"Marcellus Williams has been executed.

His final statement was made public.

“All Praise Be To Allah In Every Situation!!!” https://t.co/hDWg6gNIn3",Tue Sep 24 23:17:04 +0000 2024,26002,110931,
82,X,how it feels to post https://t.co/s5VQcsL1Ub,Mon Sep 23 16:10:20 +0000 2024,11397,36856,
83,Poetry,"“If the effort is mutual, love can last a lifetime..” https://t.co/c8DQUtL1Nw",Sun Sep 22 22:16:00 +0000 2024,46670,285086,
84,Galatasaray EN,The winner one. https://t.co/OtX93kcErV,Sat Sep 21 19:10:43 +0000 2024,24565,169626,
85,Elon Musk,"Great speech by @nayibbukele!
 https://t.co/Ni7thjJreI",Tue Sep 24 22:28:49 +0000 2024,74309,351885,
86,Rep. Marjorie Taylor Greene🇺🇸,"I am 100% against this and so are most Americans.

The U.S. is funding the Ukraine Gov at $1 billion/month to keep it running and funding most of the war by providing weapons, ammo, and equipment.

The U.S. should be negotiating peace not fueling war.

 https://t.co/GQXLuN9fUP",Mon Sep 23 17:28:46 +0000 2024,13961,57975,
87,Creepy.org,"Who is your celebrity crush?

I'll start: https://t.co/v9jYgoMmXN",Tue Sep 24 19:44:53 +0000 2024,4569,188079,
88,Dom Lucre | Breaker of Narratives,Never forget how Kamala Harris got her start. She isn’t a stranger to Diddy parties in L.A. either. https://t.co/e7bEekaZOm,Sun Sep 22 01:03:17 +0000 2024,38806,170881,
89,Eric Trump,I agree! https://t.co/XrDdpP37Rq,Tue Sep 24 22:24:12 +0000 2024,13469,59286,
90,Rex Chapman🏇🏼,"trump posted a photoshopped image of Kamala Harris with Diddy yesterday. The original pic was with Monte Williams. 

NO network media has reported on it. 

Meanwhile — these are real.👇 https://t.co/EcD6yR7ggF",Sun Sep 22 18:01:31 +0000 2024,23932,116534,
91,AS Monaco EN,Excuse me? 🤨 https://t.co/iGZp9R2FkZ,Mon Sep 23 09:40:37 +0000 2024,20710,222145,
92,J.K. Rowling,I get the same royalties whether you read them or burn them. Enjoy your marshmallows! 😘 https://t.co/OJrJIoY6uE,Tue Sep 24 18:40:26 +0000 2024,27685,402800,
93,Marvel Entertainment,Experience Marvel Studios’ #Thunderbolts* only in theaters May 2025. https://t.co/j9iDjHOoc7,Mon Sep 23 13:09:50 +0000 2024,15042,99460,
94,kira 👾,galaxy gas is frying this generation brains https://t.co/LQqBaijoHg,Sun Sep 22 03:10:03 +0000 2024,5530,138798,
95,Papa Meat,I did the thing https://t.co/uEPWKbvP0o,Sun Sep 22 20:13:28 +0000 2024,35553,632828,
